InputID,TargetID,Distance
GRAND CONCOURSE CHARTER SCHOOL,HIGH BRIDGE LIBRARY,1744.64051258
J.H.S. 166 ROBERTO CLEMENTE,MELROSE LIBRARY,769.323962627
P.S. 175 CITY ISLAND,CITY ISLAND LIBRARY,1427.66015727
P.S. 178 - DR. SELMAN WAXMAN,BAYCHESTER LIBRARY,2360.66805415
P.S. 179,MOTT HAVEN LIBRARY,1459.54493769
I.S. 180 DANIEL HALE WILLIAMS,BAYCHESTER LIBRARY,1874.66719489
I.S. 181 PABLO CASALS,BAYCHESTER LIBRARY,2195.44396916
P.S. 182,SOUNDVIEW LIBRARY,1837.33977806
THE BRONX LIGHTHOUSE CHARTER SCHOOL,HUNTS POINT LIBRARY,1773.65407147
I.S. 190,MORRISANIA LIBRARY,3148.7959056
P.S. 195,CLASON'S POINT LIBRARY,733.638789955
P.S. 196,CLASON'S POINT LIBRARY,733.638789955
P.S. 198,MORRISANIA LIBRARY,1077.93879383
P.S. 199X - THE SHAKESPEARE SCHOOL,HIGH BRIDGE LIBRARY,2075.258643
M.S. 203,MOTT HAVEN LIBRARY,744.032065448
P.S. 204 MORRIS HEIGHTS,SEDGWICK LIBRARY,520.419620848
P.S. 205 FIORELLO LAGUARDIA,BELMONT LIBRARY,1946.73635603
I.S. 206 ANN MERSEREAU,FRANCIS MARTIN LIBRARY,1121.91283498
P.S. 211,WEST FARMS LIBRARY,1887.20916
P.S. 212,MORRISANIA LIBRARY,1217.23063381
P.S. 214,WEST FARMS LIBRARY,2091.51440019
KAPPA,MORRISANIA LIBRARY,1135.119268
SCHOOL OF PERFORMING ARTS,HUNTS POINT LIBRARY,1042.56367928
P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNE,HIGH BRIDGE LIBRARY,1242.47109279
I.S. 219 NEW VENTURE SCHOOL,MORRISANIA LIBRARY,1135.119268
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,MOTT HAVEN LIBRARY,1326.44952996
M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECH,MOTT HAVEN LIBRARY,1326.44952996
P.S. / I.S. 224,MOTT HAVEN LIBRARY,1918.03038327
THEATRE ARTS PRODUCTION COMPANY SCHOOL,BELMONT LIBRARY,2444.37906562
P.S. 226,FRANCIS MARTIN LIBRARY,1972.8867369
I.S. 229 ROLAND PATTERSON,SEDGWICK LIBRARY,1544.00307711
P.S. 230 DR ROLAND N. PATTERSON,SEDGWICK LIBRARY,1544.00307711
I.S. 232,SEDGWICK LIBRARY,429.467174797
URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,TREMONT LIBRARY,2618.84327372
WEST BRONX ACADEMY FOR THE FUTURE,BRONX LIBRARY CENTER,2042.17392132
THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,JEROME PARK LIBRARY,2505.99686545
NEW DAY ACADEMY,MORRISANIA LIBRARY,1365.00855053
P.S. 246 POE CENTER,BRONX LIBRARY CENTER,943.114681302
EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOA,MORRISANIA LIBRARY,896.626125081
I.S. 254,BELMONT LIBRARY,1753.59776553
BRONX CHARTER SCHOOL FOR EXCELLENCE,PARKCHESTER LIBRARY,259.221999839
BRONX LATIN,MORRISANIA LIBRARY,1365.00855053
BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,MORRISANIA LIBRARY,1077.93879383
ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A CO,MORRISANIA LIBRARY,3562.70589538
EAST BRONX ACADEMY FOR THE FUTURE,WEST FARMS LIBRARY,3299.41046278
GLOBE SCHOOL FOR ENVIRONMENTAL RESEARCH,WAKEFIELD LIBRARY,3743.52369231
FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,WEST FARMS LIBRARY,2043.58786131
P.S. 277,MOTT HAVEN LIBRARY,3170.94601128
"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",FRANCIS MARTIN LIBRARY,1503.29733285
P.S./M.S. 280 MOSHOLU PARKWAY,MOSHOLU LIBRARY,1118.8114165
FANNIE LOU HAMER MIDDLE SCHOOL,CLASON'S POINT LIBRARY,3368.83435362
THE FORWARD SCHOOL,WAKEFIELD LIBRARY,3743.52369231
THE YOUNG SCHOLARS ACADEMY OF THE BRONX,WAKEFIELD LIBRARY,3743.52369231
P.S. 291,FRANCIS MARTIN LIBRARY,513.687656546
SOUTH BRONX ACADEMY FOR APPLIED MEDIA,WOODSTOCK LIBRARY,755.424912694
ACADEMY OF PUBLIC RELATIONS,WOODSTOCK LIBRARY,755.424912694
THE SCHOOL OF SCIENCE AND APPLIED LEARNING,WEST FARMS LIBRARY,1316.42974845
M.S. 301 PAUL L. DUNBAR,WOODSTOCK LIBRARY,966.300723621
M.S. 302 LUISA DESSUS CRUZ,WOODSTOCK LIBRARY,2034.51102409
I.S. X303 LEADERSHIP & COMMUNITY SERVICE,SEDGWICK LIBRARY,429.467174797
P.S. 304 EARLY CHILDHOOD SCHOOL,THROG'S NECK LIBRARY,3386.91999061
P.S. 306,FRANCIS MARTIN LIBRARY,2021.25560025
P.S. X307 - EAMES PLACE,JEROME PARK LIBRARY,129.548655239
BRONX DANCE ACADEMY SCHOOL,MOSHOLU LIBRARY,3901.82319391
SOUTH BRONX CHARTER SCHOOL FOR INT'L CULTURE & THE,MOTT HAVEN LIBRARY,664.254854004
P.S. 310 MARBLE HILL,JEROME PARK LIBRARY,1896.01225711
I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,GRAND CONCOURSE LIBRARY,1863.89673385
P.S. 315 LAB SCHOOL,FRANCIS MARTIN LIBRARY,1411.48038204
KAPPA III,WEST FARMS LIBRARY,955.644738625
"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",WEST FARMS LIBRARY,1887.20916
ASPIRE PREPARATORY MIDDLE SCHOOL,ALLERTON LIBRARY,1756.49001235
BRONX WRITING ACADEMY,MELROSE LIBRARY,2580.01017843
BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN,SPUYTEN DUYVIL LIBRARY,329.061956252
URBAN SCIENCE ACADEMY,MELROSE LIBRARY,1016.5796281
BRONX GREEN MIDDLE SCHOOL,ALLERTON LIBRARY,1756.49001235
COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,MORRISANIA LIBRARY,1491.21875885
NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,MELROSE LIBRARY,1016.5796281
THE BRONX SCHOOL OF SCIENCE INQUIRY AND INVESTIGAT,FRANCIS MARTIN LIBRARY,2021.25560025
NEW SCHOOL #1 @ P.S. 60,HUNTS POINT LIBRARY,1426.31127611
NEW SCHOOL #2 @ P.S. 60,HUNTS POINT LIBRARY,1426.31127611
THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,CLASON'S POINT LIBRARY,1709.97007811
I.S. 339,GRAND CONCOURSE LIBRARY,1863.89673385
P.S. 340,JEROME PARK LIBRARY,1028.96575356
ACCION ACADEMY,WEST FARMS LIBRARY,2412.08258119
INTERNATIONAL SCHOOL FOR LIBERAL ARTS,JEROME PARK LIBRARY,924.497215488
ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,MOTT HAVEN LIBRARY,1918.03038327
AMPARK NEIGHBORHOOD,VAN CORTLANDT LIBRARY,890.867701149
HYDE LEADERSHIP CHARTER SCHOOL,HUNTS POINT LIBRARY,2600.83357909
SOUTH BRONX CLASSICAL CHARTER SCHOOL,HUNTS POINT LIBRARY,1042.56367928
P.S. 360,JEROME PARK LIBRARY,2315.45807381
URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT,THROG'S NECK LIBRARY,1333.818753
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOG",SOUNDVIEW LIBRARY,2286.3697651
IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),KINGSBRIDGE LIBRARY,775.979035283
YOUNG LEADERS ELEMENTARY SCHOOL,MOTT HAVEN LIBRARY,1459.54493769
SCHOOL OF DIPLOMACY,WAKEFIELD LIBRARY,3743.52369231
URBAN INSTITUTE OF MATHEMATICS,THROG'S NECK LIBRARY,1333.818753
THE BRONX MATHEMATICS PREPARATORY SCHOOL,SOUNDVIEW LIBRARY,2286.3697651
"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOA",SOUNDVIEW LIBRARY,2274.95556668
"ELEMENTARY SCHOOL FOR MATH, SCIENCE, AND TECHNOLOG",FRANCIS MARTIN LIBRARY,1862.9158644
ENTRADA ACADEMY,HUNTS POINT LIBRARY,1042.56367928
SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,FRANCIS MARTIN LIBRARY,1862.9158644
M.S. 390,FRANCIS MARTIN LIBRARY,1595.38061267
THE ANGELO PATRI MIDDLE SCHOOL,BELMONT LIBRARY,2444.37906562
P.S. 396,FRANCIS MARTIN LIBRARY,1595.38061267
M.S. 399,BRONX LIBRARY CENTER,1958.15549035
BRONX CHARTER SCHOOL FOR CHILDREN,MOTT HAVEN LIBRARY,1159.28869366
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,GRAND CONCOURSE LIBRARY,1328.79430256
THE HUNTS POINT SCHOOL,HUNTS POINT LIBRARY,2600.83357909
HOSTOS-LINCOLN ACADEMY OF SCIENCE,MOTT HAVEN LIBRARY,2372.43342945
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",MELROSE LIBRARY,480.385056257
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,MORRISANIA LIBRARY,1135.119268
BRONX ACADEMY OF LETTERS,MOTT HAVEN LIBRARY,744.032065448
BRONX LITTLE SCHOOL,CLASON'S POINT LIBRARY,1227.86178746
BRONX PREP CHARTER SCHOOL,TREMONT LIBRARY,2684.49613734
FAMILY LIFE ACADEMY CHARTER SCHOOL,HIGH BRIDGE LIBRARY,1670.93114685
HARRIET TUBMAN CHARTER SCHOOL,MORRISANIA LIBRARY,1033.48423462
CARL C. ICAHN CHARTER SCHOOL,GRAND CONCOURSE LIBRARY,2399.09848912
